[0809/144641.586:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7d24001b1000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/144641.596:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7d24001b1000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/144807.578:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6b84001a9a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/144807.683:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6b84001a9a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/144807.709:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6b84001a9a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/144807.721:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6b84001a9a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/165015.934:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x36dc001aca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/165016.038:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x36dc001aca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/165016.054:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x36dc001aca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/165016.070:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x36dc001aca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/165054.762:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4b4c00bf0c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/165054.866:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4b4c00bf0c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/165054.891:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4b4c00bf0c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0809/165054.902:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4b4c00bf0c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0809/165138.730:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x148400b80200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
